vert;label;L;z;maaiveld;H;sig_tot;sig_eff;u;pmax_def_pilot;pmax_grond_pilot;pmin_AB_pilot;pmin_BA_pilot;pmax_def_voorruimen;pmax_grond_voorruimen;pmin_AB_voorruimen;pmin_BA_voorruimen;pmax_def_intrekken;pmax_grond_intrekken;pmin_AB_intrekken;pmin_BA_intrekken;SF_water
1;1;0.00;32.55;33.35;0.80;14.4;14.4;0.0;41.2;41.2;8.9;213.9;35.0;35.0;8.9;149.9;31.8;31.8;8.9;284.8;
2;2;7.78;31.55;33.62;2.07;37.3;37.3;0.0;128.7;182.5;26.4;218.7;128.7;160.3;23.7;157.3;128.7;147.9;29.3;286.6;
3;3;15.56;30.55;33.78;3.23;59.0;54.6;4.5;169.5;304.7;43.8;223.4;169.5;280.4;38.4;164.7;169.5;264.9;49.7;288.3;6.94
4;4;23.34;29.55;34.00;4.45;82.8;68.3;14.5;271.4;397.7;61.3;228.2;271.4;397.7;53.3;172.2;271.4;397.7;70.2;290.1;2.91
5;5;31.13;28.51;34.08;5.57;104.5;79.7;24.9;291.1;417.4;79.1;233.3;291.1;417.4;68.4;180.0;291.1;417.4;91.0;292.3;2.16
6;6;38.91;27.53;34.17;6.64;125.4;90.7;34.7;310.1;436.4;96.4;237.8;310.1;436.4;83.0;187.2;310.1;436.4;111.2;293.9;1.86
7;7;46.69;27.43;34.66;7.22;136.6;100.9;35.7;320.2;446.5;103.8;232.6;320.2;446.5;87.8;184.6;320.2;446.5;121.5;285.7;1.84
8;8;54.47;28.10;36.10;8.00;151.0;121.9;29.0;333.3;459.6;102.8;218.9;333.3;459.6;84.1;173.5;333.3;459.6;123.5;269.0;2.01
9;9;62.25;28.39;36.39;8.00;150.8;124.7;26.1;333.2;459.5;105.9;209.3;333.2;459.5;84.5;166.7;333.2;459.5;129.5;256.5;2.11
10;10;70.03;28.57;36.57;8.00;150.7;126.4;24.3;333.1;459.4;110.2;201.0;333.1;459.4;86.1;161.0;333.1;459.4;136.7;245.2;2.18
11;11;77.82;28.64;36.64;8.00;150.7;127.0;23.6;333.0;459.4;115.7;194.0;333.0;459.4;89.1;156.6;333.0;459.4;145.2;235.3;2.21
12;12;85.60;28.64;36.64;8.00;150.7;127.1;23.6;333.0;459.4;122.0;187.6;333.0;459.4;92.6;152.9;333.0;459.4;154.4;226.0;2.22
13;13;93.38;28.92;36.92;8.00;150.5;129.7;20.8;332.9;459.2;125.2;178.2;332.9;459.2;93.2;146.2;332.9;459.2;160.6;213.7;2.36
14;14;101.16;29.11;37.11;8.00;150.4;131.6;18.9;332.8;459.1;129.4;169.7;332.8;459.1;94.7;140.3;332.8;459.1;167.7;202.3;2.49
15;15;108.94;29.33;37.33;8.00;150.3;133.6;16.7;332.7;459.0;133.2;161.0;332.7;459.0;95.9;134.3;332.7;459.0;174.5;190.6;2.67
16;16;116.72;29.38;37.38;8.00;150.3;134.1;16.2;332.7;459.0;139.0;154.2;332.7;459.0;99.0;130.1;332.7;459.0;183.2;180.8;2.72
17;17;124.51;29.53;37.53;8.00;150.2;135.5;14.7;332.6;459.0;143.7;146.3;332.6;459.0;101.1;124.8;332.6;459.0;190.8;170.0;2.88
18;18;132.29;29.73;37.73;8.00;150.1;137.4;12.7;332.5;458.9;147.8;137.7;332.5;458.9;102.5;118.9;332.5;458.9;197.8;158.5;3.16
19;19;140.07;30.49;38.30;7.81;145.9;140.8;5.1;317.8;684.2;145.7;123.0;317.8;677.0;97.8;106.8;317.8;671.1;198.7;140.8;6.18
20;20;147.85;31.82;38.57;6.75;126.1;126.1;0.0;291.0;627.0;137.3;101.7;291.0;617.4;86.7;88.3;291.0;609.7;193.3;116.6;
21;21;155.63;32.71;38.29;5.58;104.7;104.7;0.0;256.9;543.6;133.8;85.5;256.9;530.0;80.5;74.8;256.9;519.5;192.7;97.4;
22;22;163.41;34.01;38.50;4.49;85.3;85.3;0.0;155.9;318.2;125.7;64.6;155.9;312.7;69.7;56.6;155.9;308.4;187.6;73.6;
23;23;171.20;35.35;38.59;3.24;61.5;61.5;0.0;125.0;245.7;117.3;43.4;125.0;236.5;58.6;38.1;125.0;229.7;182.1;49.4;
24;24;178.98;36.03;37.90;1.87;35.5;35.5;0.0;87.0;143.5;116.1;29.5;87.0;130.2;54.7;26.8;87.0;122.2;183.9;32.5;
25;25;186.76;37.31;38.11;0.80;15.2;15.2;0.0;47.0;47.0;108.3;8.9;40.1;40.1;44.2;8.9;36.5;36.5;179.1;8.9;
